tentinh,wb_poverty,count,tax_amount
An Giang,normal,1883496.2,0
An Giang,upper-middle,15205.8,0
Bà Rịa - Vũng Tàu,lower-middle,4204,0
Bà Rịa - Vũng Tàu,normal,1131176.3333333333,0
Bà Rịa - Vũng Tàu,upper-middle,18278.666666666668,0
Bình Dương,normal,2817521,0
Bình Phước,extreme poverty,1697.6666666666667,0
Bình Phước,lower-middle,2342,0
Bình Phước,normal,996497.2,0
Bình Phước,upper-middle,8571.133333333333,0
Bình Thuận,normal,1223288,0
Bình Định,extreme poverty,7905.066666666667,0
Bình Định,lower-middle,15023.866666666667,0
Bình Định,normal,1375028.6,0
Bình Định,upper-middle,83901.46666666667,0
Bạc Liêu,lower-middle,5786.4,0
Bạc Liêu,normal,870865.4666666667,0
Bạc Liêu,upper-middle,14864.133333333333,0
Bắc Giang,normal,1733975.0666666667,0
Bắc Giang,upper-middle,40176.933333333334,0
Bắc Kạn,extreme poverty,6012.733333333334,0
Bắc Kạn,lower-middle,26562.666666666668,0
Bắc Kạn,normal,219594.4,0
Bắc Kạn,upper-middle,60188.2,0
Bắc Ninh,lower-middle,2296,0
Bắc Ninh,normal,1523848,0
Bắc Ninh,upper-middle,28097,0
Bến Tre,lower-middle,7152.2,0
Bến Tre,normal,1120005.8,0
Bến Tre,upper-middle,72494,0
Cao Bằng,extreme poverty,7872,0
Cao Bằng,lower-middle,22293.066666666666,0
Cao Bằng,normal,403751.6666666667,0
Cao Bằng,upper-middle,99297.26666666666,0
Cà Mau,lower-middle,5560.333333333333,0
Cà Mau,normal,1054319.2,0
Cà Mau,upper-middle,88126.46666666667,0
Cần Thơ,extreme poverty,1632,0
Cần Thơ,normal,1439266.6666666667,0
Cần Thơ,upper-middle,7747.333333333333,0
Gia Lai,extreme poverty,7537.4,0
Gia Lai,lower-middle,38980.066666666666,0
Gia Lai,normal,1401161.7333333334,0
Gia Lai,upper-middle,163776.8,0
Hoà Bình,lower-middle,3592.5333333333333,0
Hoà Bình,normal,783264.8,0
Hoà Bình,upper-middle,51585.666666666664,0
Hà Giang,extreme poverty,3903.2,0
Hà Giang,lower-middle,35572.73333333333,0
Hà Giang,normal,703489.9333333333,0
Hà Giang,upper-middle,140516.13333333333,0
Hà Nam,extreme poverty,1143.8666666666666,0
Hà Nam,lower-middle,3887.6,0
Hà Nam,normal,825963.3333333334,0
Hà Nam,upper-middle,8321.2,0
Hà Nội,normal,8625994.933333334,0
Hà Nội,upper-middle,80440.06666666667,0
Hà Tĩnh,extreme poverty,1628.4,0
Hà Tĩnh,lower-middle,9115.866666666667,0
Hà Tĩnh,normal,1156753.2,0
Hà Tĩnh,upper-middle,93596.53333333334,0
Hưng Yên,extreme poverty,4002.133333333333,0
