MATINH,MAHUYEN,MAXA,MADIABAN,SONHANKHAU,soho,ky,ttnt,dbmauchu,tentinh,tenhuyen,tenxa,tendb,thon,tenthon,ttnt2019,db2019,db2022,xa2019,xa2022,dakhaosat,kqrasoat,hhur2020,soxa45,wt45,soxa36,wt36,soxa9,wt9,WT_SCIECO
1,1,1,37,51,15,10,1,2,Thành phố Hà Nội,Quận Ba Đình,Phường Phúc Xá,Từ ngõ 32 đến đầu tường bao Công ty Cơ điện,018,Tổ 6,1,157,147,5863,6277,Đã khảo sát 2020 và 2021,0,1231752.97,72,1068,72,1335,72,5339,54468
1,1,19,9,54,15,10,1,14,Thành phố Hà Nội,Quận Ba Đình,Phường Điện Biên,Tổ dân phố số 10,008,Tổ 10,1,135,134,2464,2661,Đã khảo sát 2020 và 2021,0,1231752.97,72,1132,72,1415,72,5660,61128
1,1,31,27,61,15,6,1,21,Thành phố Hà Nội,Quận Ba Đình,Phường Giảng Võ,Tổ dân phố 13B,018,Tổ 13B,1,166,141,5183,4981,Đã khảo sát 2021,0,1231752.97,72,969,72,1211,72,4844,59109
1,1,4,4,54,15,5,1,3,Thành phố Hà Nội,Quận Ba Đình,Phường Trúc Bạch,Tổ dân phố số 5,005,Tổ 5,1,184,165,1948,2172,Mới,0,1231752.97,72,1023,72,1278,72,5114,55242
1,1,6,8,54,15,6,1,4,Thành phố Hà Nội,Quận Ba Đình,Phường Vĩnh Phúc,Tổ 4A: Ngõ 639 HHT + phía phải ngách 639/39 HHT + ngách 639/87 HHT,005,Tổ 4,1,126,106,6314,6266,Mới,0,1231752.97,72,959,72,1199,72,4797,51786
1,1,8,7,65,15,10,1,8,Thành phố Hà Nội,Quận Ba Đình,Phường Liễu Giai,"Tổ 4B - ngõ 189 HHT, ngách 1, 15, 31/189 HHT, hẻm 189/1/2 HHT",006,Tổ 4B,1,133,125,5639,5608,Đã khảo sát 2020,0,1231752.97,72,1072,72,1340,72,5360,69680
1,16,379,9,52,15,7,2,293,Thành phố Hà Nội,Huyện Sóc Sơn,Xã Bắc Sơn,Phúc Xuân 3,003,Phúc Xuân,2,176,176,4289,4303,Mới,0,1086806,68,1065,68,1332,68,5327,55380
1,16,400,11,50,15,5,2,301,Thành phố Hà Nội,Huyện Sóc Sơn,Xã Phù Linh,Phù Mã 1,003,Phù Mã,2,198,195,3080,3067,Đã khảo sát 2020,0,1086806,68,1049,68,1312,68,5247,52450
1,16,415,3,70,15,7,2,306,Thành phố Hà Nội,Huyện Sóc Sơn,Xã Tân Dân,Xuân Lễ 1,003,Xuân Lễ,2,199,195,3598,3610,Đã khảo sát 2020 và 2021,0,1086806,68,1044,68,1305,68,5220,73080
1,16,433,7,60,15,2,2,313,Thành phố Hà Nội,Huyện Sóc Sơn,Xã Thanh Xuân,Thanh Nhàn 2,004,Thanh Nhàn,2,129,135,3429,3437,Đã khảo sát 2021,0,1086806,68,1115,68,1394,68,5575,66900
1,17,460,11,70,15,10,2,325,Thành phố Hà Nội,Huyện Đông Anh,Xã Thuỵ Lâm,Thôn Mạnh Tân-5,003,Thôn Mạnh Tân,2,122,123,4912,5141,Đã khảo sát 2020,0,1086806,68,1074,68,1343,68,5371,75180
1,17,466,16,53,15,6,2,328,Thành phố Hà Nội,Huyện Đông Anh,Xã Nguyên Khê,Khối phố - Nguyên Khê,006,Khối phố,2,96,87,3986,4323,Mới,0,1086806,68,966,68,1207,68,4828,51198
1,17,472,22,59,15,4,2,331,Thành phố Hà Nội,Huyện Đông Anh,Xã Tiên Dương,Thôn Trung Oai-5,003,Thôn Trung Oai,2,182,179,4710,4904,Đã khảo sát 2020 và 2021,0,1086806,68,1048,68,1310,68,5240,61832
1,17,484,26,62,15,1,2,337,Thành phố Hà Nội,Huyện Đông Anh,Xã Liên Hà,Thôn Giao Tác-2,008,Thôn Giao Tác,2,185,185,4359,4064,Đã khảo sát 2021,0,1086806,68,1065,68,1332,68,5327,66030
1,17,499,25,63,15,12,2,347,Thành phố Hà Nội,Huyện Đông Anh,Xã Đại Mạch,Xóm Tây-4,002,Thôn Đại Đồng,2,140,145,5073,5156,Đã khảo sát 2020,0,1086806,68,1104,68,1379,68,5518,69552
1,17,508,34,60,15,5,2,353,Thành phố Hà Nội,Huyện Đông Anh,Xã Hải Bối,Thôn Cổ Điển-10,002,Thôn Cổ Điển,2,195,156,6325,4605,Đã khảo sát 2020 và 2021,0,1086806,68,852,68,1065,68,4262,51120
1,18,526,9,62,15,5,1,359,Thành phố Hà Nội,Huyện Gia Lâm,Thị trấn Yên Viên,Tổ dân phố Yên Hà-3,003,Tổ dân phố Yên Hà,1,83,78,3278,3509,Đã khảo sát 2020,0,1231752.97,72,1072,72,1340,72,5359,66464
1,18,529,8,64,15,6,2,360,Thành phố Hà Nội,Huyện Gia Lâm,Xã Yên Thường,Thôn Lại Hoàng-2,003,Thôn Lại Hoàng,2,112,110,4739,4813,Đã khảo sát 2021,0,1086806,68,1046,68,1308,68,5232,66944
1,18,553,21,62,15,8,2,370,Thành phố Hà Nội,Huyện Gia Lâm,Xã Cổ Bi,Thôn Cam 3-3,008,Thôn Cam 3,2,140,138,4724,4956,Đã khảo sát 2020,0,1086806,68,1050,68,1313,68,5251,65100
1,18,559,10,62,15,3,2,373,Thành phố Hà Nội,Huyện Gia Lâm,Xã Phú Thị,Thôn Đại Bản-3,003,Thôn Đại Bản,2,150,151,2878,2713,Mới,0,1086806,68,1073,68,1341,68,5363,66526
1,18,565,5,55,15,1,1,375,Thành phố Hà Nội,Huyện Gia Lâm,Thị trấn Trâu Quỳ,Bình Minh 3,002,TDP Bình Minh,1,90,84,13836,9439,Đã khảo sát 2021,0,1231752.97,72,1064,72,1331,72,5322,58520
1,18,568,6,64,15,10,2,381,Thành phố Hà Nội,Huyện Gia Lâm,Xã Dương Quang,Thôn Bình Trù-2,003,Thôn Bình Trù,2,144,145,3502,3590,Đã khảo sát 2020 và 2021,0,1086806,68,1073,68,1341,68,5364,68672
1,18,589,1,75,15,9,2,388,Thành phố Hà Nội,Huyện Gia Lâm,Xã Văn Đức,Đội 1 + Đội 2,001,Thôn Trung Quan 1,2,181,177,2035,2038,Đã khảo sát 2021,0,1086806,68,1042,68,1302,68,5210,78150
1,19,592,54,59,15,7,1,391,Thành phố Hà Nội,Quận Nam Từ Liêm,Phường Cầu Diễn,TDP 4-14,004,TDP số 4,1,133,102,7920,8216,Mới,0,1231752.97,72,875,72,1093,72,4373,51625
1,19,631,14,51,15,6,1,407,Thành phố Hà Nội,Quận Nam Từ Liêm,Phường Mễ Trì,khu tái định cư Đồng Me,006,TDP số 5 Mễ Trì Hạ,1,227,196,9373,9745,Đã khảo sát 2021,0,1231752.97,72,985,72,1231,72,4924,50235
