tentinh,tenhuyen,tenxa,tendb,wb_poverty,count
An Giang,Huyện An Phú,Thị trấn An Phú,"Ấp An Thạnh (Tổ 26, 27, 28, 29, 30, 31)",extreme poverty,13520
An Giang,Huyện An Phú,Thị trấn An Phú,"Ấp An Thạnh (Tổ 26, 27, 28, 29, 30, 31)",normal,20280
An Giang,Huyện An Phú,Xã Khánh Bình,"Ấp Bình Di (Tổ 1, 2, 3, 4, 5)",extreme poverty,11550.933333333334
An Giang,Huyện An Phú,Xã Khánh Bình,"Ấp Bình Di (Tổ 1, 2, 3, 4, 5)",normal,13201.066666666668
An Giang,Huyện An Phú,Xã Nhơn Hội,"Ấp Bắc Đai (Tổ 33, 34, 35)",normal,67308
An Giang,Huyện An Phú,Xã Phú Hữu,"Ấp Phú Thành (Tổ 30, 31, 32, 33, 34)",extreme poverty,17047.466666666667
An Giang,Huyện An Phú,Xã Phú Hữu,"Ấp Phú Thành (Tổ 30, 31, 32, 33, 34)",normal,14916.533333333333
An Giang,Huyện An Phú,Xã Phước Hưng,Ấp Phước Thạnh (DNTN Tân Long Hưng đến ranh ấp Phước Mỹ),extreme poverty,1996.7333333333333
An Giang,Huyện An Phú,Xã Phước Hưng,Ấp Phước Thạnh (DNTN Tân Long Hưng đến ranh ấp Phước Mỹ),normal,27954.266666666666
An Giang,Huyện An Phú,Xã Vĩnh Hội Đông,"Ấp Vĩnh Phú (Tổ 1, 2, 3, 4, 5, 6, 7)",extreme poverty,3346.6666666666665
An Giang,Huyện An Phú,Xã Vĩnh Hội Đông,"Ấp Vĩnh Phú (Tổ 1, 2, 3, 4, 5, 6, 7)",normal,21753.333333333332
An Giang,Huyện Châu Phú,Thị trấn Cái Dầu,"Ấp Vĩnh Lộc (Tổ 15, 14, 13, 12, 11, 10, 9, 8)",extreme poverty,5034.666666666667
An Giang,Huyện Châu Phú,Thị trấn Cái Dầu,"Ấp Vĩnh Lộc (Tổ 15, 14, 13, 12, 11, 10, 9, 8)",normal,32725.333333333336
An Giang,Huyện Châu Phú,Xã Bình Long,"ấp Chánh Hưng(Tổ 26,27,28,29,30)",extreme poverty,6243.733333333334
An Giang,Huyện Châu Phú,Xã Bình Long,"ấp Chánh Hưng(Tổ 26,27,28,29,30)",normal,17170.266666666666
An Giang,Huyện Châu Phú,Xã Bình Mỹ,"ấp Bình Tân (Một phần tổ 09, tổ 10-11- 12 và một phần tổ 13)",extreme poverty,6319.6
An Giang,Huyện Châu Phú,Xã Bình Mỹ,"ấp Bình Tân (Một phần tổ 09, tổ 10-11- 12 và một phần tổ 13)",normal,25278.4
An Giang,Huyện Châu Phú,Xã Khánh Hòa,"Ấp Khánh Phát (Tổ 6,7,8,9,10,11)",extreme poverty,14784.933333333332
An Giang,Huyện Châu Phú,Xã Khánh Hòa,"Ấp Khánh Phát (Tổ 6,7,8,9,10,11)",normal,16897.066666666666
An Giang,Huyện Châu Phú,Xã Mỹ Phú,"Ấp Mỹ An (Tổ 5,6,7,8)",extreme poverty,11919.6
An Giang,Huyện Châu Phú,Xã Mỹ Phú,"Ấp Mỹ An (Tổ 5,6,7,8)",normal,13622.4
An Giang,Huyện Châu Phú,Xã Mỹ Đức,"ấp Mỹ Hiệp (Tổ 1,2,3,4,5,6)",extreme poverty,21369.333333333336
An Giang,Huyện Châu Phú,Xã Mỹ Đức,"ấp Mỹ Hiệp (Tổ 1,2,3,4,5,6)",normal,10684.666666666668
An Giang,Huyện Châu Phú,Xã Thạnh Mỹ Tây,"ấp Cầu Dây (Tổ 9,10, 16,17,18)",extreme poverty,19786.666666666668
An Giang,Huyện Châu Phú,Xã Thạnh Mỹ Tây,"ấp Cầu Dây (Tổ 9,10, 16,17,18)",normal,9893.333333333334
An Giang,Huyện Châu Thành,Xã Bình Hòa,"Ấp Bình Phú II (Tổ 35,36,37,38,39,40,41)",extreme poverty,4070
An Giang,Huyện Châu Thành,Xã Bình Hòa,"Ấp Bình Phú II (Tổ 35,36,37,38,39,40,41)",normal,16280
An Giang,Huyện Châu Thành,Xã Cần Đăng,"Ấp Cần Thạnh (Tổ 42,43,44,45",normal,27240
